Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 
417   2022   12   20   10   4   43   194      6186   22.16   1476   48.62


418   2022   12   20   10   4   43   595      6187   22.17   1476   48.62


419   2022   12   20   10   4   43   996      6186   22.16   1476   48.62


420   2022   12   20   10   4   44   397      6186   22.16   1476   48.62


421   2022   12   20   10   4   44   798      6185   22.15   1476   48.62


422   2022   12   20   10   4   45   200      6187   22.17   1476   48.62


423   2022   12   20   10   4   45   200      6187   22.17   1476   48.62


424   2022   12   20   10   4   45   601      6186   22.16   1476   48.62


425   2022   12   20   10   4   46   2      6186   22.16   1476   48.62


426   2022   12   20   10   4   46   403      6186   22.16   1476   48.62


427   2022   12   20   10   4   46   804      6187   22.17   1476   48.62


428   2022   12   20   10   4   47   205      6186   22.16   1476   48.62


429   2022   12   20   10   4   47   606      6187   22.17   1476   48.62


430   2022   12   20   10   4   48   7      6186   22.16   1476   48.62


431   2022   12   20   10   4   48   407      6186   22.16   1477   48.65


432   2022   12   20   10   4   48   808      6187   22.17   1476   48.62


433   2022   12   20   10   4   49   210      6186   22.16   1476   48.62


434   2022   12   20   10   4   49   611      6186   22.16   1476   48.62


435   2022   12   20   10   4   50   12      6186   22.16   1476   48.62


436   2022   12   20   10   4   50   413      6187   22.17   1476   48.62


437   2022   12   20   10   4   50   814      6187   22.17   1476   48.62


438   2022   12   20   10   4   50   814      6186   22.16   1476   48.62


439   2022   12   20   10   4   51   216      6185   22.15   1476   48.62


440   2022   12   20   10   4   51   617      6186   22.16   1477   48.65


